,product_link,product_title,price_usd,condition,time_sold
81,https://www.ebay.com/itm/Super-Gameboy-for-Super-Nintendo-earthbound-size-big-box-w-guide-NO-CART-Rare/133152585868?epid=56262871&hash=item1f0083388c:g:XuMAAOSwfuddZHgi,None,9.99,Brand New,"Aug 29, 2019 20:40:19 PDT "
82,https://www.ebay.com/itm/Earthbound-Super-Nintendo-SNES-RPG-Authentic-Cartridge-Tested/183926407497?hash=item2ad2de4149:g:WQEAAOSwnehdUyix,"Earthbound (Super Nintendo, SNES RPG)  Authentic Cartridge  -- Tested!!!",175.99,Good,"Aug 28, 2019 22:19:44 PDT "
83,https://www.ebay.com/itm/Earthbound-Uncut-English-Game-for-SNES-Super-Nintendo/254247720522?hash=item3b3258564a:g:7WcAAOSw5cNYbAmT,Earthbound Uncut (English) Game for  SNES Super Nintendo,50.00,Very Good,"Aug 28, 2019 22:19:44 PDT "
84,https://www.ebay.com/itm/Earthbound-SNES-Authentic-Super-Nintendo/372748677898?hash=item56c98d730a:g:zoUAAOSwtHpdYv0E,None,50.00,Very Good,"Aug 28, 2019 22:19:44 PDT "
85,https://www.ebay.com/itm/EarthBound-Super-Nintendo-Entertainment-System-1995-Authentic/223641613781?hash=item34121435d5:g:CwoAAOSweMFdZuj0,"EarthBound (Super Nintendo Entertainment System, 1995) Authentic.",140.00,Very Good,"Aug 28, 2019 13:53:00 PDT "
86,https://www.ebay.com/itm/Authentic-Earthbound-Super-Nintendo-SNES/163836435452?hash=item2625699bfc:g:WGQAAOSwPWNdZWGU,None,140.00,Very Good,"Aug 28, 2019 13:53:00 PDT "
87,https://www.ebay.com/itm/EarthBound-Super-Nintendo-SNES-Aftermarket-Reproduction-Game-Tested-Works/174002834169?hash=item2883608af9:g:RFwAAOSwWL1dWxks,EarthBound (Super Nintendo SNES) Aftermarket Reproduction Game Tested Works,29.95,Very Good,"Aug 27, 2019 15:59:33 PDT "
88,https://www.ebay.com/itm/Earthbound-Super-Nintendo-SNES-RPG-Authentic-game-cart-Tested/283575643780?hash=item42066cee84:g:NgcAAOSwMuZc8cW~,"Earthbound (Super Nintendo, SNES RPG)  Authentic game cart -- Tested",189.95,Good,"Aug 26, 2019 17:46:32 PDT "
89,https://www.ebay.com/itm/Secret-of-Evermore-Earthbound-Super-Nintendo-Reproduction-Snes-Carts-RPG/303180215434?epid=4859&hash=item4696f2f48a:g:noEAAOSwQTNc-WGt,None,189.95,Good,"Aug 26, 2019 17:46:32 PDT "
90,https://www.ebay.com/itm/Authentic-Earthbound-Super-Nintendo-SNES/113865918497?hash=item1a82f00821:g:dWMAAOSw6yVdYwrB,None,189.95,Good,"Aug 26, 2019 17:46:32 PDT "
91,https://www.ebay.com/itm/EarthBound-Super-Nintendo-CIB-NM-Cart-Inserts-Guidebook-VG-Box-wear-SNES/202759588724?hash=item2f3569cb74:g:PqEAAOSw5CddWMdR,EarthBound (Super Nintendo) - CIB NM Cart/Inserts/Guidebook VG Box (wear) SNES,878.00,Very Good,"Aug 25, 2019 14:02:06 PDT "
92,https://www.ebay.com/itm/Massive-Super-Nintendo-Lot-Superscope-Earthbound-Good-Titles-Massive-Lot/264439234267?hash=item3d91ce7edb:g:gqQAAOSw6ZRdXuM-,Massive Super Nintendo Lot Superscope Earthbound Good Titles Massive Lot,520.00,Good,"Aug 25, 2019 11:50:35 PDT "
93,https://www.ebay.com/itm/Earthbound-SNES-Authentic-Super-Nintendo/193067050465?hash=item2cf3b165e1:g:9DwAAOSwM3hdYqJt,None,520.00,Good,"Aug 25, 2019 11:50:35 PDT "
94,https://www.ebay.com/itm/Earthbound-Snes-Super-Nintendo-Ntsc-Usa-Version-Video-Game-16-Bit-With-Saving-B/392373650181?hash=item5b5b4ac305:g:ygoAAOSwEAtdTBHR,Earthbound Snes Super Nintendo Ntsc Usa  Version Video Game 16 Bit With Saving B,14.99,Brand New,"Aug 25, 2019 11:50:35 PDT "
95,https://www.ebay.com/itm/Snes-Earthbound-Super-Nintendo-Snes-Video-Game-Cartridge/113856899045?hash=item1a826667e5:g:i0gAAOSwYZZdOt94,Snes Earthbound Super Nintendo Snes Video Game Cartridge ,34.99,Like New,"Aug 24, 2019 20:49:14 PDT "
96,https://www.ebay.com/itm/EarthBound-Super-Nintendo-Entertainment-System-1995-Authentic-Tested-Works/133144591222?hash=item1f00093b76:g:GRYAAOSwztddV0kD,"EarthBound (Super Nintendo Entertainment System, 1995) Authentic Tested Works",169.95,Good,"Aug 24, 2019 13:42:45 PDT "
97,https://www.ebay.com/itm/EarthBound-Super-Nintendo-SNES-Authentic/323880362452?hash=item4b68c621d4:g:NUEAAOSwSp5dTbfT,None,169.95,Good,"Aug 24, 2019 13:42:45 PDT "
98,https://www.ebay.com/itm/TESTED-EarthBound-Super-Nintendo-SNES-Genuine-Original-Authentic-Saves-Game/174001409014?hash=item28834acbf6:g:3WkAAOSwR7tdWZda,TESTED EarthBound Super Nintendo SNES Genuine Original Authentic Saves Game,169.95,Good,"Aug 23, 2019 14:42:59 PDT "
99,https://www.ebay.com/itm/Earthbound-Super-Nintendo-SNES-RPG-Cart-Only-Authentic-Acceptable-shape/163829963247?hash=item262506d9ef:g:fNgAAOSwlzBdXxuw,"Earthbound (Super Nintendo, SNES RPG) Cart Only - Authentic -- Acceptable shape",135.00,Acceptable,"Aug 23, 2019 13:47:15 PDT "
